date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,153.44,154.66,153.34,154.08,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,154.08,155.22,153.8,155.16,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,155.16,155.5,154.88,155.06,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,155.06,156.17,154.75,155.94,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,155.94,156.19,155.53,155.94,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,155.94,156.33,155.72,156.19,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,156.19,156.25,153.59,153.71,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,152.38,153.0,151.5,151.69,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,151.69,152.69,151.63,152.0,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,152.0,152.27,151.37,151.58,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,151.58,152.17,150.91,151.09,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,151.09,151.5,150.85,151.44,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,151.44,152.36,151.34,152.35,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,152.35,152.63,151.92,152.54,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,150.34,151.3,150.08,150.36,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,150.36,150.61,149.6,149.93,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,149.93,150.07,149.36,149.81,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,149.81,150.15,149.62,150.02,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,150.02,150.04,149.29,149.41,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,149.41,149.42,148.56,148.68,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,148.68,148.95,148.4,148.5,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,148.87,149.5,147.85,147.93,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,147.93,148.4,147.16,148.15,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,148.15,148.32,147.69,148.07,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,148.07,149.11,147.83,148.93,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,148.93,149.43,148.76,149.16,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,149.16,149.96,148.26,148.38,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,148.38,148.97,148.18,148.94,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,150.06,150.34,149.36,149.58,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,149.58,149.8,147.67,147.98,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,147.98,148.26,147.48,147.52,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,147.52,147.83,147.23,147.74,-1.0,-1.0,-1
