date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,215.19,215.68,214.06,214.64,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,214.64,216.06,214.01,215.72,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,215.72,216.52,215.12,215.63,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,215.63,215.87,214.81,214.89,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,214.89,215.18,214.47,214.87,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,214.87,215.38,214.1,214.12,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,214.12,214.14,212.16,212.22,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,211.37,211.48,207.63,208.06,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,208.06,210.22,207.84,209.81,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,209.81,210.89,209.42,210.68,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,210.68,211.74,210.13,210.41,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,210.41,211.18,210.21,210.93,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,210.93,211.42,210.5,211.32,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,211.32,211.76,210.74,211.69,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,208.79,210.81,207.37,207.91,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,207.91,208.58,206.17,206.62,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,206.62,207.13,206.16,206.69,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,206.69,207.17,205.85,207.09,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,207.09,207.27,205.39,205.72,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,205.72,206.08,205.05,206.01,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,206.01,206.34,205.45,205.54,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,205.25,207.35,204.66,206.53,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,206.53,207.48,205.18,207.38,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,207.38,207.68,206.4,206.98,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,206.98,207.37,206.34,206.46,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,206.46,207.18,205.96,206.31,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,206.31,206.77,205.28,205.34,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,205.34,205.8,204.67,205.79,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,207.13,209.72,207.12,209.08,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,209.08,209.37,207.0,207.76,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,207.76,208.35,205.75,206.11,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,206.11,206.96,205.87,206.87,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,206.87,207.84,206.62,207.61,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,207.61,209.01,207.36,208.69,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,208.69,209.2,208.1,208.19,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,200.08,201.67,198.47,200.84,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,200.84,201.2,198.76,200.09,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,200.09,200.14,197.86,198.62,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,198.62,199.04,197.9,197.9,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,197.9,198.63,197.36,198.32,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,198.32,199.9,198.3,199.25,-1.0,-1.0,-1
2023-02-24 15:00:00-05:00,199.25,199.85,197.87,198.13,-1.0,-1.0,-1
2023-02-27 09:30:00-05:00,199.66,202.1,199.12,201.86,-1.0,-1.0,-1
2023-02-27 10:00:00-05:00,201.86,203.13,201.29,201.94,-1.0,-1.0,-1
2023-02-27 11:00:00-05:00,201.94,202.42,201.37,201.89,-1.0,-1.0,-1
2023-02-27 12:00:00-05:00,201.89,202.23,201.2,202.0,-1.0,-1.0,-1
2023-02-27 13:00:00-05:00,202.0,202.39,201.04,201.66,-1.0,-1.0,-1
2023-02-27 14:00:00-05:00,201.66,201.88,200.58,200.74,-1.0,-1.0,-1
2023-02-27 15:00:00-05:00,200.74,200.82,199.73,200.4,-1.0,-1.0,-1
2023-02-28 09:30:00-05:00,200.96,201.65,200.05,200.26,-1.0,-1.0,-1
2023-02-28 10:00:00-05:00,200.26,201.06,199.33,200.05,-1.0,-1.0,-1
2023-02-28 11:00:00-05:00,200.05,201.39,199.97,201.02,-1.0,-1.0,-1
2023-02-28 12:00:00-05:00,201.02,202.04,200.94,201.78,-1.0,-1.0,-1
2023-02-28 13:00:00-05:00,201.78,202.07,201.5,201.84,-1.0,-1.0,-1
2023-02-28 14:00:00-05:00,201.84,202.38,201.18,202.25,-1.0,-1.0,-1
2023-02-28 15:00:00-05:00,202.25,202.26,200.92,201.46,-1.0,-1.0,-1
2023-03-01 09:30:00-05:00,201.25,202.83,201.0,202.27,-1.0,-1.0,-1
2023-03-01 10:00:00-05:00,202.27,202.72,200.81,202.15,-1.0,-1.0,-1
2023-03-01 11:00:00-05:00,202.15,203.73,201.55,203.09,-1.0,-1.0,-1
2023-03-01 12:00:00-05:00,203.09,203.92,202.97,203.44,-1.0,-1.0,-1
2023-03-01 13:00:00-05:00,203.44,203.56,202.59,202.6,-1.0,-1.0,-1
2023-03-01 14:00:00-05:00,202.6,203.45,202.36,203.31,-1.0,-1.0,-1
2023-03-01 15:00:00-05:00,203.31,205.44,203.16,204.58,-1.0,-1.0,-1
2023-03-02 09:30:00-05:00,204.0,205.63,203.18,204.89,-1.0,-1.0,-1
2023-03-02 10:00:00-05:00,204.89,205.78,204.32,205.38,-1.0,-1.0,-1
2023-03-02 11:00:00-05:00,205.38,206.1,204.93,205.56,-1.0,-1.0,-1
2023-03-02 12:00:00-05:00,205.56,207.26,205.49,207.19,-1.0,-1.0,-1
2023-03-02 13:00:00-05:00,207.19,207.78,206.45,207.59,-1.0,-1.0,-1
2023-03-02 14:00:00-05:00,207.59,208.35,207.19,207.52,-1.0,-1.0,-1
2023-03-02 15:00:00-05:00,207.52,210.32,207.28,210.13,-1.0,-1.0,-1
2023-03-03 09:30:00-05:00,210.76,211.46,209.38,211.21,-1.0,-1.0,-1
2023-03-03 10:00:00-05:00,211.21,214.03,210.58,213.66,-1.0,-1.0,-1
2023-03-03 11:00:00-05:00,213.66,215.11,213.29,215.03,-1.0,-1.0,-1
2023-03-03 12:00:00-05:00,215.03,215.36,214.22,214.99,-1.0,-1.0,-1
2023-03-03 13:00:00-05:00,214.99,215.55,214.76,215.18,-1.0,-1.0,-1
2023-03-03 14:00:00-05:00,215.18,216.12,214.92,215.18,-1.0,-1.0,-1
2023-03-03 15:00:00-05:00,215.18,215.53,214.81,215.14,-1.0,-1.0,-1
2023-03-06 09:30:00-05:00,214.38,214.44,209.58,209.76,-1.0,-1.0,-1
2023-03-06 10:00:00-05:00,209.76,212.34,209.63,211.05,-1.0,-1.0,-1
2023-03-06 11:00:00-05:00,211.05,212.93,210.94,212.53,-1.0,-1.0,-1
2023-03-06 12:00:00-05:00,212.53,213.53,211.03,211.1,-1.0,-1.0,-1
2023-03-06 13:00:00-05:00,211.1,211.5,210.88,211.36,-1.0,-1.0,-1
2023-03-06 14:00:00-05:00,211.36,211.69,210.76,211.32,-1.0,-1.0,-1
2023-03-06 15:00:00-05:00,211.32,212.3,211.25,211.91,-1.0,-1.0,-1
2023-03-07 09:30:00-05:00,211.01,213.18,211.01,212.63,-1.0,-1.0,-1
2023-03-07 10:00:00-05:00,212.63,212.87,210.76,210.92,-1.0,-1.0,-1
2023-03-07 11:00:00-05:00,210.92,211.07,209.58,209.86,-1.0,-1.0,-1
2023-03-07 12:00:00-05:00,209.86,210.77,209.3,209.72,-1.0,-1.0,-1
2023-03-07 13:00:00-05:00,209.72,209.76,207.8,208.08,-1.0,-1.0,-1
2023-03-07 14:00:00-05:00,208.08,208.79,207.93,208.06,-1.0,-1.0,-1
2023-03-07 15:00:00-05:00,208.06,208.62,207.79,207.96,-1.0,-1.0,-1
2023-03-08 09:30:00-05:00,208.35,208.78,206.86,208.61,-1.0,-1.0,-1
2023-03-08 10:00:00-05:00,208.61,208.75,207.1,207.34,-1.0,-1.0,-1
2023-03-08 11:00:00-05:00,207.34,207.75,206.57,207.49,-1.0,-1.0,-1
2023-03-08 12:00:00-05:00,207.49,207.55,206.25,206.58,-1.0,-1.0,-1
2023-03-08 13:00:00-05:00,206.58,206.75,205.95,206.37,-1.0,-1.0,-1
2023-03-08 14:00:00-05:00,206.37,207.01,206.29,206.56,-1.0,-1.0,-1
2023-03-08 15:00:00-05:00,206.56,207.54,206.34,207.21,-1.0,-1.0,-1
2023-03-09 09:30:00-05:00,208.28,209.04,207.67,208.13,-1.0,-1.0,-1
2023-03-09 10:00:00-05:00,208.13,208.34,206.64,207.03,-1.0,-1.0,-1
2023-03-09 11:00:00-05:00,207.03,207.21,205.63,205.69,-1.0,-1.0,-1
2023-03-09 12:00:00-05:00,205.69,205.69,204.08,204.09,-1.0,-1.0,-1
2023-03-09 13:00:00-05:00,204.09,204.29,202.66,202.83,-1.0,-1.0,-1
2023-03-09 14:00:00-05:00,202.83,202.84,201.99,202.03,-1.0,-1.0,-1
2023-03-09 15:00:00-05:00,202.03,202.26,200.27,201.22,-1.0,-1.0,-1
2023-03-10 09:30:00-05:00,201.33,201.52,197.73,198.09,-1.0,-1.0,-1
2023-03-10 10:00:00-05:00,198.09,200.1,197.84,200.02,-1.0,-1.0,-1
2023-03-10 11:00:00-05:00,200.02,201.69,199.11,199.23,-1.0,-1.0,-1
