date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,51.36,51.53,51.09,51.25,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,51.25,51.59,51.15,51.59,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,51.59,51.77,51.56,51.63,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,51.63,51.69,51.45,51.61,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,51.61,51.68,51.52,51.68,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,51.68,51.83,51.67,51.73,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,51.73,51.74,51.3,51.48,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,51.18,51.39,50.91,51.06,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,51.06,51.42,51.05,51.13,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,51.13,51.31,51.05,51.19,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,51.19,51.35,51.16,51.18,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,51.18,51.31,51.13,51.2,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,51.2,51.49,51.2,51.48,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,51.48,51.59,51.34,51.43,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,50.81,50.91,50.36,50.38,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,50.38,50.45,49.71,49.76,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,49.76,49.85,49.55,49.69,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,49.69,49.79,49.54,49.62,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,49.62,49.67,49.47,49.56,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,49.56,49.78,49.43,49.75,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,49.75,50.0,49.68,49.84,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,49.79,50.03,49.69,49.95,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,49.95,49.96,49.37,49.79,-1.0,-1.0,-1
