date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,168.08,168.55,167.59,167.66,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,167.66,168.37,167.28,168.07,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,168.07,168.18,167.69,167.96,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,167.96,168.67,167.81,168.32,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,168.32,168.45,167.18,167.8,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,167.8,168.11,167.39,167.65,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,167.65,167.72,166.39,166.6,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,164.66,164.71,162.35,162.91,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,162.91,164.02,162.46,162.72,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,162.72,163.53,162.38,162.88,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,162.88,163.1,162.11,162.19,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,162.19,162.61,161.86,162.5,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,162.5,163.45,162.14,163.39,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,163.39,163.53,162.74,162.88,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,162.08,163.76,162.08,162.69,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,162.69,162.97,161.67,162.25,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,162.25,162.33,161.12,161.22,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,161.22,162.13,160.97,161.97,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,161.97,162.14,161.31,161.48,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,161.48,161.65,161.13,161.43,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,161.43,161.55,160.71,161.03,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,160.59,161.54,159.89,161.16,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,161.16,161.2,158.91,159.72,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,159.72,160.54,159.29,160.5,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,160.5,161.2,160.4,161.03,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,161.03,161.57,160.87,161.18,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,161.18,161.65,159.81,159.81,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,159.81,160.42,159.64,160.41,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,162.25,162.88,161.21,162.49,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,162.49,162.65,161.58,161.8,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,161.8,161.91,160.61,160.68,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,160.68,161.54,160.54,161.5,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,161.5,162.1,161.29,162.09,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,162.09,162.67,161.99,162.21,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,162.21,162.62,161.77,161.96,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,160.53,160.59,159.15,159.8,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,159.8,160.98,159.68,160.72,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,160.72,162.38,160.55,161.88,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,161.88,162.07,161.02,161.1,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,161.1,161.89,160.81,161.5,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,161.5,162.21,161.38,162.06,-1.0,-1.0,-1
2023-02-24 15:00:00-05:00,162.06,162.6,161.66,162.43,-1.0,-1.0,-1
2023-02-27 09:30:00-05:00,163.04,163.12,161.89,162.53,-1.0,-1.0,-1
2023-02-27 10:00:00-05:00,162.53,163.22,162.48,162.88,-1.0,-1.0,-1
2023-02-27 11:00:00-05:00,162.88,163.13,162.32,162.69,-1.0,-1.0,-1
2023-02-27 12:00:00-05:00,162.69,163.39,162.54,163.03,-1.0,-1.0,-1
2023-02-27 13:00:00-05:00,163.03,163.07,162.35,162.65,-1.0,-1.0,-1
2023-02-27 14:00:00-05:00,162.65,163.06,162.63,162.71,-1.0,-1.0,-1
2023-02-27 15:00:00-05:00,162.71,162.89,162.14,162.81,-1.0,-1.0,-1
2023-02-28 09:30:00-05:00,164.64,164.69,161.91,161.94,-1.0,-1.0,-1
2023-02-28 10:00:00-05:00,161.94,162.66,161.46,161.95,-1.0,-1.0,-1
2023-02-28 11:00:00-05:00,161.95,162.44,160.69,160.71,-1.0,-1.0,-1
2023-02-28 12:00:00-05:00,160.71,161.39,160.64,161.27,-1.0,-1.0,-1
2023-02-28 13:00:00-05:00,161.27,161.38,160.64,161.07,-1.0,-1.0,-1
2023-02-28 14:00:00-05:00,161.07,161.3,160.63,160.85,-1.0,-1.0,-1
2023-02-28 15:00:00-05:00,160.85,160.99,160.28,160.72,-1.0,-1.0,-1
2023-03-01 09:30:00-05:00,161.13,162.35,160.58,162.13,-1.0,-1.0,-1
2023-03-01 10:00:00-05:00,162.13,163.59,161.71,163.53,-1.0,-1.0,-1
2023-03-01 11:00:00-05:00,163.53,163.59,162.04,162.31,-1.0,-1.0,-1
2023-03-01 12:00:00-05:00,162.31,162.74,161.84,161.89,-1.0,-1.0,-1
2023-03-01 13:00:00-05:00,161.89,162.15,161.36,161.66,-1.0,-1.0,-1
2023-03-01 14:00:00-05:00,161.66,161.98,161.32,161.9,-1.0,-1.0,-1
2023-03-01 15:00:00-05:00,161.9,162.39,161.84,162.08,-1.0,-1.0,-1
2023-03-02 09:30:00-05:00,161.99,162.71,161.59,162.63,-1.0,-1.0,-1
2023-03-02 10:00:00-05:00,162.63,163.49,162.38,162.83,-1.0,-1.0,-1
2023-03-02 11:00:00-05:00,162.83,162.87,162.02,162.42,-1.0,-1.0,-1
2023-03-02 12:00:00-05:00,162.42,162.61,161.9,162.41,-1.0,-1.0,-1
2023-03-02 13:00:00-05:00,162.41,162.76,162.03,162.6,-1.0,-1.0,-1
2023-03-02 14:00:00-05:00,162.6,162.85,162.44,162.75,-1.0,-1.0,-1
2023-03-02 15:00:00-05:00,162.75,163.28,162.36,162.59,-1.0,-1.0,-1
2023-03-03 09:30:00-05:00,160.63,163.06,160.4,162.8,-1.0,-1.0,-1
2023-03-03 10:00:00-05:00,162.8,163.35,162.52,163.19,-1.0,-1.0,-1
2023-03-03 11:00:00-05:00,163.19,164.5,163.08,164.28,-1.0,-1.0,-1
2023-03-03 12:00:00-05:00,164.28,164.45,163.74,164.44,-1.0,-1.0,-1
2023-03-03 13:00:00-05:00,164.44,164.94,164.43,164.67,-1.0,-1.0,-1
2023-03-03 14:00:00-05:00,164.67,165.26,164.43,165.25,-1.0,-1.0,-1
2023-03-03 15:00:00-05:00,165.25,165.58,164.62,164.94,-1.0,-1.0,-1
2023-03-06 09:30:00-05:00,164.16,164.88,163.79,164.55,-1.0,-1.0,-1
2023-03-06 10:00:00-05:00,164.55,165.02,164.18,164.45,-1.0,-1.0,-1
2023-03-06 11:00:00-05:00,164.45,165.92,164.45,165.87,-1.0,-1.0,-1
2023-03-06 12:00:00-05:00,165.87,166.16,165.67,165.85,-1.0,-1.0,-1
2023-03-06 13:00:00-05:00,165.85,165.94,165.53,165.91,-1.0,-1.0,-1
2023-03-06 14:00:00-05:00,165.91,166.8,165.89,166.65,-1.0,-1.0,-1
2023-03-06 15:00:00-05:00,166.65,166.68,166.01,166.18,-1.0,-1.0,-1
2023-03-07 09:30:00-05:00,165.74,166.6,165.52,166.55,-1.0,-1.0,-1
2023-03-07 10:00:00-05:00,166.55,166.6,165.26,165.39,-1.0,-1.0,-1
2023-03-07 11:00:00-05:00,165.39,165.82,164.59,164.65,-1.0,-1.0,-1
2023-03-07 12:00:00-05:00,164.65,165.68,164.62,164.75,-1.0,-1.0,-1
2023-03-07 13:00:00-05:00,164.75,164.78,163.57,163.81,-1.0,-1.0,-1
2023-03-07 14:00:00-05:00,163.81,164.06,163.66,163.83,-1.0,-1.0,-1
2023-03-07 15:00:00-05:00,163.83,164.37,163.81,164.05,-1.0,-1.0,-1
2023-03-08 09:30:00-05:00,163.38,165.29,163.21,165.14,-1.0,-1.0,-1
2023-03-08 10:00:00-05:00,165.14,165.23,163.18,163.31,-1.0,-1.0,-1
2023-03-08 11:00:00-05:00,163.31,163.49,161.72,161.81,-1.0,-1.0,-1
2023-03-08 12:00:00-05:00,161.81,162.26,161.38,162.16,-1.0,-1.0,-1
2023-03-08 13:00:00-05:00,162.16,162.43,161.65,162.18,-1.0,-1.0,-1
2023-03-08 14:00:00-05:00,162.18,162.38,161.81,161.94,-1.0,-1.0,-1
2023-03-08 15:00:00-05:00,161.94,163.12,161.64,162.99,-1.0,-1.0,-1
2023-03-09 09:30:00-05:00,163.63,165.47,163.53,164.85,-1.0,-1.0,-1
2023-03-09 10:00:00-05:00,164.85,165.13,163.82,164.17,-1.0,-1.0,-1
2023-03-09 11:00:00-05:00,164.17,164.4,163.6,163.63,-1.0,-1.0,-1
2023-03-09 12:00:00-05:00,163.63,163.89,163.02,163.3,-1.0,-1.0,-1
2023-03-09 13:00:00-05:00,163.3,163.46,162.2,162.26,-1.0,-1.0,-1
2023-03-09 14:00:00-05:00,162.26,162.51,161.45,161.5,-1.0,-1.0,-1
2023-03-09 15:00:00-05:00,161.5,161.61,160.19,160.5,-1.0,-1.0,-1
2023-03-10 09:30:00-05:00,160.65,164.67,160.22,164.37,-1.0,-1.0,-1
2023-03-10 10:00:00-05:00,164.37,164.67,160.87,162.1,-1.0,-1.0,-1
2023-03-10 11:00:00-05:00,162.1,163.27,161.39,161.47,-1.0,-1.0,-1
2023-03-10 12:00:00-05:00,161.47,161.63,160.64,160.72,-1.0,-1.0,-1
2023-03-10 13:00:00-05:00,160.72,160.98,158.73,159.17,-1.0,-1.0,-1
2023-03-10 14:00:00-05:00,159.17,159.99,158.69,159.56,-1.0,-1.0,-1
2023-03-10 15:00:00-05:00,159.56,159.88,158.66,159.68,-1.0,-1.0,-1
2023-03-13 09:30:00-04:00,156.53,157.26,153.82,157.01,-1.0,-1.0,-1
2023-03-13 10:00:00-04:00,157.01,160.5,156.27,160.41,-1.0,-1.0,-1
2023-03-13 11:00:00-04:00,160.41,160.7,158.72,160.43,-1.0,-1.0,-1
2023-03-13 12:00:00-04:00,160.43,160.97,159.17,159.29,-1.0,-1.0,-1
2023-03-13 13:00:00-04:00,159.29,160.19,158.6,160.06,-1.0,-1.0,-1
2023-03-13 14:00:00-04:00,160.06,160.57,159.46,159.94,-1.0,-1.0,-1
2023-03-13 15:00:00-04:00,159.94,160.02,157.93,158.69,-1.0,-1.0,-1
2023-03-14 09:30:00-04:00,158.28,161.63,157.88,161.49,-1.0,-1.0,-1
2023-03-14 10:00:00-04:00,161.49,162.13,160.69,161.53,-1.0,-1.0,-1
2023-03-14 11:00:00-04:00,161.53,164.03,161.39,163.73,-1.0,-1.0,-1
2023-03-14 12:00:00-04:00,163.73,163.95,161.86,162.05,-1.0,-1.0,-1
2023-03-14 13:00:00-04:00,162.05,162.38,161.2,161.65,-1.0,-1.0,-1
2023-03-14 14:00:00-04:00,161.65,161.79,159.46,159.49,-1.0,-1.0,-1
2023-03-14 15:00:00-04:00,159.49,161.06,158.12,160.72,-1.0,-1.0,-1
2023-03-15 09:30:00-04:00,155.33,157.92,154.4,155.66,-1.0,-1.0,-1
