date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,107.63,108.0,106.93,107.17,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,107.17,107.9,106.93,107.64,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,107.64,107.99,107.13,107.97,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,107.97,108.02,107.44,107.53,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,107.53,107.76,107.21,107.49,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,107.49,107.99,107.46,107.48,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,107.48,107.55,105.71,105.84,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,105.16,105.81,104.22,104.39,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,104.39,105.33,104.3,104.56,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,104.56,104.68,104.18,104.36,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,104.36,104.81,104.08,104.14,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,104.14,104.49,103.88,104.2,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,104.2,104.98,104.15,104.92,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,104.92,105.24,104.85,105.23,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,103.67,103.72,102.47,102.5,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,102.5,102.94,102.08,102.37,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,102.37,102.82,101.96,101.99,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,101.99,102.43,101.91,102.39,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,102.39,102.43,101.88,101.96,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,101.96,102.31,101.83,102.23,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,102.23,102.47,101.9,102.11,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,101.34,102.39,101.07,101.92,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,101.92,102.14,101.19,102.07,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,102.07,102.41,101.94,102.28,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,102.28,102.56,102.13,102.28,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,102.28,102.47,102.09,102.17,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,102.17,102.45,101.3,101.31,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,101.31,101.93,101.21,101.69,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,101.69,101.93,101.21,101.38,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,101.38,101.56,100.01,100.39,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,100.39,100.9,99.6,99.67,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,99.67,100.35,99.64,100.3,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,100.3,100.94,100.28,100.88,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,100.88,101.7,100.72,101.58,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,101.58,102.05,101.57,101.75,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,99.59,100.35,99.23,99.56,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,99.56,99.79,98.95,99.59,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,99.59,100.44,99.53,100.03,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,100.03,100.12,99.62,99.67,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,99.67,100.25,99.47,100.03,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,100.03,100.33,99.73,100.28,-1.0,-1.0,-1
2023-02-24 15:00:00-05:00,100.28,100.43,99.81,100.3,-1.0,-1.0,-1
2023-02-27 09:30:00-05:00,100.6,101.36,100.6,101.2,-1.0,-1.0,-1
2023-02-27 10:00:00-05:00,101.2,101.48,100.58,100.83,-1.0,-1.0,-1
2023-02-27 11:00:00-05:00,100.83,101.04,100.52,100.62,-1.0,-1.0,-1
2023-02-27 12:00:00-05:00,100.62,100.92,100.33,100.89,-1.0,-1.0,-1
2023-02-27 13:00:00-05:00,100.89,101.09,100.74,101.08,-1.0,-1.0,-1
2023-02-27 14:00:00-05:00,101.08,101.27,100.59,100.61,-1.0,-1.0,-1
2023-02-27 15:00:00-05:00,100.61,100.71,100.06,100.45,-1.0,-1.0,-1
2023-02-28 09:30:00-05:00,100.56,100.69,100.09,100.48,-1.0,-1.0,-1
2023-02-28 10:00:00-05:00,100.48,100.76,99.82,100.06,-1.0,-1.0,-1
2023-02-28 11:00:00-05:00,100.06,100.34,99.75,99.79,-1.0,-1.0,-1
2023-02-28 12:00:00-05:00,99.79,100.0,99.57,99.86,-1.0,-1.0,-1
2023-02-28 13:00:00-05:00,99.86,100.16,99.73,100.08,-1.0,-1.0,-1
2023-02-28 14:00:00-05:00,100.08,100.23,99.88,99.96,-1.0,-1.0,-1
2023-02-28 15:00:00-05:00,99.96,100.02,99.56,99.64,-1.0,-1.0,-1
2023-03-01 09:30:00-05:00,99.28,99.63,98.88,99.44,-1.0,-1.0,-1
2023-03-01 10:00:00-05:00,99.44,99.58,98.56,99.13,-1.0,-1.0,-1
2023-03-01 11:00:00-05:00,99.13,99.13,98.37,98.89,-1.0,-1.0,-1
2023-03-01 12:00:00-05:00,98.89,99.05,98.61,98.63,-1.0,-1.0,-1
2023-03-01 13:00:00-05:00,98.63,98.65,98.25,98.52,-1.0,-1.0,-1
2023-03-01 14:00:00-05:00,98.52,98.71,98.1,98.46,-1.0,-1.0,-1
2023-03-01 15:00:00-05:00,98.46,98.93,98.31,98.56,-1.0,-1.0,-1
2023-03-02 09:30:00-05:00,97.68,98.15,97.62,97.89,-1.0,-1.0,-1
2023-03-02 10:00:00-05:00,97.89,98.21,97.46,97.78,-1.0,-1.0,-1
2023-03-02 11:00:00-05:00,97.78,97.97,97.43,97.62,-1.0,-1.0,-1
2023-03-02 12:00:00-05:00,97.62,98.17,97.62,98.07,-1.0,-1.0,-1
2023-03-02 13:00:00-05:00,98.07,98.65,97.69,98.63,-1.0,-1.0,-1
2023-03-02 14:00:00-05:00,98.63,99.0,98.56,98.84,-1.0,-1.0,-1
2023-03-02 15:00:00-05:00,98.84,99.29,98.69,98.94,-1.0,-1.0,-1
2023-03-03 09:30:00-05:00,99.77,100.16,98.88,99.81,-1.0,-1.0,-1
2023-03-03 10:00:00-05:00,99.81,100.42,99.36,99.88,-1.0,-1.0,-1
2023-03-03 11:00:00-05:00,99.88,100.45,99.68,100.39,-1.0,-1.0,-1
2023-03-03 12:00:00-05:00,100.39,100.77,100.34,100.77,-1.0,-1.0,-1
2023-03-03 13:00:00-05:00,100.77,100.82,100.44,100.76,-1.0,-1.0,-1
2023-03-03 14:00:00-05:00,100.76,101.04,100.61,101.02,-1.0,-1.0,-1
2023-03-03 15:00:00-05:00,101.02,101.17,100.82,101.12,-1.0,-1.0,-1
2023-03-06 09:30:00-05:00,101.59,101.88,100.89,101.77,-1.0,-1.0,-1
2023-03-06 10:00:00-05:00,101.77,102.7,101.55,102.26,-1.0,-1.0,-1
2023-03-06 11:00:00-05:00,102.26,102.32,101.94,102.07,-1.0,-1.0,-1
2023-03-06 12:00:00-05:00,102.07,102.08,101.27,101.34,-1.0,-1.0,-1
2023-03-06 13:00:00-05:00,101.34,101.52,100.92,100.97,-1.0,-1.0,-1
2023-03-06 14:00:00-05:00,100.97,101.06,100.63,100.84,-1.0,-1.0,-1
2023-03-06 15:00:00-05:00,100.84,100.92,100.49,100.64,-1.0,-1.0,-1
2023-03-07 09:30:00-05:00,100.29,100.97,100.19,100.58,-1.0,-1.0,-1
2023-03-07 10:00:00-05:00,100.58,100.65,99.33,99.36,-1.0,-1.0,-1
2023-03-07 11:00:00-05:00,99.36,99.88,99.26,99.5,-1.0,-1.0,-1
2023-03-07 12:00:00-05:00,99.5,100.31,99.42,100.05,-1.0,-1.0,-1
2023-03-07 13:00:00-05:00,100.05,100.09,99.17,99.35,-1.0,-1.0,-1
2023-03-07 14:00:00-05:00,99.35,99.56,98.88,98.99,-1.0,-1.0,-1
2023-03-07 15:00:00-05:00,98.99,99.31,98.97,99.08,-1.0,-1.0,-1
2023-03-08 09:30:00-05:00,98.94,99.09,98.47,98.89,-1.0,-1.0,-1
2023-03-08 10:00:00-05:00,98.89,99.44,98.28,98.87,-1.0,-1.0,-1
2023-03-08 11:00:00-05:00,98.87,99.62,98.76,99.41,-1.0,-1.0,-1
2023-03-08 12:00:00-05:00,99.41,99.48,98.81,99.23,-1.0,-1.0,-1
2023-03-08 13:00:00-05:00,99.23,99.3,98.72,98.81,-1.0,-1.0,-1
2023-03-08 14:00:00-05:00,98.81,99.18,98.74,98.77,-1.0,-1.0,-1
2023-03-08 15:00:00-05:00,98.77,99.4,98.6,99.31,-1.0,-1.0,-1
2023-03-09 09:30:00-05:00,99.41,100.07,99.28,99.59,-1.0,-1.0,-1
2023-03-09 10:00:00-05:00,99.59,99.96,99.11,99.13,-1.0,-1.0,-1
2023-03-09 11:00:00-05:00,99.13,99.25,98.68,98.7,-1.0,-1.0,-1
2023-03-09 12:00:00-05:00,98.7,98.95,98.41,98.44,-1.0,-1.0,-1
2023-03-09 13:00:00-05:00,98.44,98.45,97.04,97.3,-1.0,-1.0,-1
2023-03-09 14:00:00-05:00,97.3,97.38,96.56,96.58,-1.0,-1.0,-1
2023-03-09 15:00:00-05:00,96.58,96.65,95.92,96.16,-1.0,-1.0,-1
2023-03-10 09:30:00-05:00,95.53,95.91,93.83,94.39,-1.0,-1.0,-1
2023-03-10 10:00:00-05:00,94.39,95.02,93.38,94.44,-1.0,-1.0,-1
2023-03-10 11:00:00-05:00,94.44,95.04,93.95,94.06,-1.0,-1.0,-1
2023-03-10 12:00:00-05:00,94.06,94.54,93.74,93.85,-1.0,-1.0,-1
2023-03-10 13:00:00-05:00,93.85,93.99,92.83,92.94,-1.0,-1.0,-1
2023-03-10 14:00:00-05:00,92.94,93.94,92.92,93.63,-1.0,-1.0,-1
2023-03-10 15:00:00-05:00,93.63,93.81,93.12,93.59,-1.0,-1.0,-1
2023-03-13 09:30:00-04:00,91.89,92.23,90.47,91.91,-1.0,-1.0,-1
2023-03-13 10:00:00-04:00,91.91,92.94,91.11,92.89,-1.0,-1.0,-1
2023-03-13 11:00:00-04:00,92.89,94.02,92.6,93.59,-1.0,-1.0,-1
2023-03-13 12:00:00-04:00,93.59,94.02,92.68,92.89,-1.0,-1.0,-1
2023-03-13 13:00:00-04:00,92.89,93.36,92.5,93.27,-1.0,-1.0,-1
2023-03-13 14:00:00-04:00,93.27,93.79,93.15,93.49,-1.0,-1.0,-1
2023-03-13 15:00:00-04:00,93.49,93.61,92.52,92.62,-1.0,-1.0,-1
2023-03-14 09:30:00-04:00,93.92,94.29,93.29,93.92,-1.0,-1.0,-1
2023-03-14 10:00:00-04:00,93.92,94.13,93.43,93.69,-1.0,-1.0,-1
2023-03-14 11:00:00-04:00,93.69,94.3,93.69,94.11,-1.0,-1.0,-1
2023-03-14 12:00:00-04:00,94.11,94.19,93.5,93.56,-1.0,-1.0,-1
2023-03-14 13:00:00-04:00,93.56,93.65,92.53,92.77,-1.0,-1.0,-1
2023-03-14 14:00:00-04:00,92.77,93.09,92.32,92.84,-1.0,-1.0,-1
2023-03-14 15:00:00-04:00,92.84,93.43,92.34,93.32,-1.0,-1.0,-1
2023-03-15 09:30:00-04:00,91.84,92.73,91.44,91.61,-1.0,-1.0,-1
2023-03-15 10:00:00-04:00,91.61,92.42,91.41,92.09,-1.0,-1.0,-1
2023-03-15 11:00:00-04:00,92.09,92.71,92.04,92.17,-1.0,-1.0,-1
2023-03-15 12:00:00-04:00,92.17,92.39,91.78,91.93,-1.0,-1.0,-1
2023-03-15 13:00:00-04:00,91.93,92.72,91.86,92.71,-1.0,-1.0,-1
2023-03-15 14:00:00-04:00,92.71,93.35,92.2,93.16,-1.0,-1.0,-1
2023-03-15 15:00:00-04:00,93.16,93.36,92.59,93.17,-1.0,-1.0,-1
2023-03-16 09:30:00-04:00,92.48,92.79,91.93,92.48,-1.0,-1.0,-1
2023-03-16 10:00:00-04:00,92.48,93.49,91.89,93.27,-1.0,-1.0,-1
2023-03-16 11:00:00-04:00,93.27,93.92,92.93,93.73,-1.0,-1.0,-1
2023-03-16 12:00:00-04:00,93.73,94.37,93.3,94.22,-1.0,-1.0,-1
2023-03-16 13:00:00-04:00,94.22,94.56,94.0,94.36,-1.0,-1.0,-1
2023-03-16 14:00:00-04:00,94.36,94.42,93.95,94.25,-1.0,-1.0,-1
2023-03-16 15:00:00-04:00,94.25,94.51,94.06,94.31,-1.0,-1.0,-1
