date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,95.39,96.52,94.73,96.11,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,96.11,97.59,95.61,97.55,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,97.55,97.68,96.53,96.95,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,96.95,97.06,96.26,96.59,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,96.59,96.99,96.35,96.83,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,96.83,97.07,96.57,96.78,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,96.78,96.83,95.3,95.52,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,94.85,95.56,93.85,94.06,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,94.06,94.4,93.82,93.89,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,93.89,94.05,93.21,93.77,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,93.77,94.0,93.48,93.61,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,93.61,93.96,93.45,93.66,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,93.66,94.34,93.57,94.25,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,94.25,94.58,93.99,94.36,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,93.03,93.1,92.39,92.64,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,92.64,92.99,92.11,92.31,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,92.31,92.43,92.07,92.16,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,92.16,92.33,91.79,91.95,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,91.95,92.04,91.74,91.89,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,91.89,92.08,91.72,92.0,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,92.0,92.27,91.76,91.82,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,91.69,92.09,91.44,91.52,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,91.52,92.01,90.61,91.75,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,91.75,91.98,91.42,91.88,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,91.88,92.04,91.69,91.98,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,91.98,92.11,91.77,91.81,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,91.81,92.11,91.39,91.52,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,91.52,91.9,91.45,91.69,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,91.94,91.95,90.85,91.45,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,91.45,91.62,90.37,90.39,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,90.39,90.65,89.95,90.0,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,90.0,90.3,89.76,90.2,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,90.2,90.48,89.9,90.38,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,90.38,91.16,90.26,90.78,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,90.78,91.14,90.78,90.88,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,89.5,89.89,89.14,89.24,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,89.24,89.38,88.57,88.8,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,88.8,89.21,88.67,89.0,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,89.0,89.21,88.76,88.95,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,88.95,89.07,88.79,88.89,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,88.89,89.28,88.79,89.2,-1.0,-1.0,-1
2023-02-24 15:00:00-05:00,89.2,89.37,88.84,89.16,-1.0,-1.0,-1
2023-02-27 09:30:00-05:00,89.82,90.02,89.33,89.78,-1.0,-1.0,-1
2023-02-27 10:00:00-05:00,89.78,90.17,89.56,89.73,-1.0,-1.0,-1
2023-02-27 11:00:00-05:00,89.73,89.94,89.47,89.78,-1.0,-1.0,-1
2023-02-27 12:00:00-05:00,89.78,89.88,89.58,89.81,-1.0,-1.0,-1
2023-02-27 13:00:00-05:00,89.81,90.0,89.61,90.0,-1.0,-1.0,-1
2023-02-27 14:00:00-05:00,90.0,90.1,89.56,89.75,-1.0,-1.0,-1
2023-02-27 15:00:00-05:00,89.75,89.91,89.5,89.88,-1.0,-1.0,-1
2023-02-28 09:30:00-05:00,89.33,90.18,89.32,89.98,-1.0,-1.0,-1
2023-02-28 10:00:00-05:00,89.98,90.59,89.86,90.03,-1.0,-1.0,-1
2023-02-28 11:00:00-05:00,90.03,90.58,89.98,90.19,-1.0,-1.0,-1
2023-02-28 12:00:00-05:00,90.19,91.07,90.18,90.92,-1.0,-1.0,-1
2023-02-28 13:00:00-05:00,90.92,91.23,90.88,91.0,-1.0,-1.0,-1
2023-02-28 14:00:00-05:00,91.0,91.05,90.6,90.64,-1.0,-1.0,-1
2023-02-28 15:00:00-05:00,90.64,90.72,90.06,90.06,-1.0,-1.0,-1
2023-03-01 09:30:00-05:00,89.99,91.03,89.66,90.74,-1.0,-1.0,-1
2023-03-01 10:00:00-05:00,90.74,90.86,89.81,90.38,-1.0,-1.0,-1
2023-03-01 11:00:00-05:00,90.38,90.68,89.75,90.56,-1.0,-1.0,-1
2023-03-01 12:00:00-05:00,90.56,91.01,90.38,90.73,-1.0,-1.0,-1
