date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,135.57,135.72,134.72,134.89,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,134.89,135.23,134.58,135.07,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,135.07,135.44,134.95,135.22,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,135.22,135.7,135.16,135.63,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,135.63,135.81,135.51,135.66,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,135.66,135.97,135.65,135.9,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,135.9,135.94,134.88,134.99,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,134.66,134.8,133.89,134.44,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,134.44,135.59,134.4,135.03,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,135.03,135.06,134.65,134.87,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,134.87,135.02,134.44,134.53,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,134.53,134.79,134.41,134.74,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,134.74,135.15,134.73,134.97,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,134.97,135.12,134.73,135.03,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,134.05,134.4,132.92,132.96,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,132.96,133.2,132.34,132.71,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,132.71,132.82,132.29,132.36,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,132.36,132.49,132.18,132.32,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,132.32,132.41,131.76,131.82,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,131.82,132.09,131.66,132.0,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,132.0,132.09,131.65,131.72,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,131.97,131.99,131.22,131.56,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,131.56,131.68,130.73,131.18,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,131.18,131.37,130.79,130.93,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,130.93,131.16,130.8,131.07,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,131.07,131.33,130.97,131.05,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,131.05,131.31,130.45,130.54,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,130.54,130.99,130.29,130.99,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,131.63,131.7,130.86,131.34,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,131.34,131.41,129.87,130.19,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,130.19,130.36,129.28,129.3,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,129.3,129.55,128.86,129.47,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,129.47,129.81,129.41,129.65,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,129.65,130.67,129.58,130.6,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,130.6,131.06,130.6,130.8,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,129.84,130.07,129.22,129.8,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,129.8,130.04,129.38,129.59,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,129.59,130.42,129.58,130.04,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,130.04,130.09,129.82,130.06,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,130.06,130.3,129.75,130.27,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,130.27,130.53,130.08,130.44,-1.0,-1.0,-1
2023-02-24 15:00:00-05:00,130.44,130.68,130.06,130.56,-1.0,-1.0,-1
2023-02-27 09:30:00-05:00,131.54,131.68,131.05,131.6,-1.0,-1.0,-1
2023-02-27 10:00:00-05:00,131.6,131.87,130.91,131.09,-1.0,-1.0,-1
2023-02-27 11:00:00-05:00,131.09,131.13,130.41,130.78,-1.0,-1.0,-1
2023-02-27 12:00:00-05:00,130.78,131.14,130.54,131.11,-1.0,-1.0,-1
2023-02-27 13:00:00-05:00,131.11,131.4,131.04,131.3,-1.0,-1.0,-1
2023-02-27 14:00:00-05:00,131.3,131.38,130.57,130.57,-1.0,-1.0,-1
2023-02-27 15:00:00-05:00,130.57,130.63,130.13,130.5,-1.0,-1.0,-1
2023-02-28 09:30:00-05:00,130.79,130.79,129.52,130.03,-1.0,-1.0,-1
2023-02-28 10:00:00-05:00,130.03,130.21,129.37,129.68,-1.0,-1.0,-1
2023-02-28 11:00:00-05:00,129.68,129.98,129.14,129.24,-1.0,-1.0,-1
2023-02-28 12:00:00-05:00,129.24,129.63,129.23,129.57,-1.0,-1.0,-1
2023-02-28 13:00:00-05:00,129.57,129.69,129.38,129.63,-1.0,-1.0,-1
2023-02-28 14:00:00-05:00,129.63,129.92,129.54,129.69,-1.0,-1.0,-1
2023-02-28 15:00:00-05:00,129.69,129.76,129.24,129.25,-1.0,-1.0,-1
2023-03-01 09:30:00-05:00,128.88,129.48,128.72,129.18,-1.0,-1.0,-1
2023-03-01 10:00:00-05:00,129.18,129.29,128.42,128.48,-1.0,-1.0,-1
2023-03-01 11:00:00-05:00,128.48,128.52,127.73,128.43,-1.0,-1.0,-1
2023-03-01 12:00:00-05:00,128.43,128.65,128.25,128.26,-1.0,-1.0,-1
2023-03-01 13:00:00-05:00,128.26,128.28,127.94,128.13,-1.0,-1.0,-1
2023-03-01 14:00:00-05:00,128.13,128.15,127.86,128.0,-1.0,-1.0,-1
2023-03-01 15:00:00-05:00,128.0,128.46,127.96,128.19,-1.0,-1.0,-1
2023-03-02 09:30:00-05:00,128.25,128.33,127.72,127.81,-1.0,-1.0,-1
2023-03-02 10:00:00-05:00,127.81,128.35,127.77,128.22,-1.0,-1.0,-1
2023-03-02 11:00:00-05:00,128.22,128.4,127.83,127.9,-1.0,-1.0,-1
2023-03-02 12:00:00-05:00,127.9,128.07,127.7,127.83,-1.0,-1.0,-1
2023-03-02 13:00:00-05:00,127.83,128.52,127.74,128.49,-1.0,-1.0,-1
2023-03-02 14:00:00-05:00,128.49,128.85,128.49,128.68,-1.0,-1.0,-1
2023-03-02 15:00:00-05:00,128.68,129.22,128.54,128.94,-1.0,-1.0,-1
2023-03-03 09:30:00-05:00,129.29,129.46,129.12,129.24,-1.0,-1.0,-1
2023-03-03 10:00:00-05:00,129.24,129.47,128.76,129.3,-1.0,-1.0,-1
2023-03-03 11:00:00-05:00,129.3,129.64,129.11,129.56,-1.0,-1.0,-1
2023-03-03 12:00:00-05:00,129.56,129.66,129.39,129.64,-1.0,-1.0,-1
2023-03-03 13:00:00-05:00,129.64,129.75,129.13,129.41,-1.0,-1.0,-1
2023-03-03 14:00:00-05:00,129.41,129.72,129.31,129.7,-1.0,-1.0,-1
2023-03-03 15:00:00-05:00,129.7,129.91,129.52,129.65,-1.0,-1.0,-1
2023-03-06 09:30:00-05:00,129.75,130.23,129.57,130.18,-1.0,-1.0,-1
2023-03-06 10:00:00-05:00,130.18,130.85,130.06,130.56,-1.0,-1.0,-1
2023-03-06 11:00:00-05:00,130.56,130.85,130.35,130.63,-1.0,-1.0,-1
2023-03-06 12:00:00-05:00,130.63,130.82,130.26,130.43,-1.0,-1.0,-1
2023-03-06 13:00:00-05:00,130.43,130.46,130.09,130.16,-1.0,-1.0,-1
2023-03-06 14:00:00-05:00,130.16,130.19,129.9,129.97,-1.0,-1.0,-1
2023-03-06 15:00:00-05:00,129.97,130.28,129.75,130.19,-1.0,-1.0,-1
2023-03-07 09:30:00-05:00,130.25,130.44,129.72,130.27,-1.0,-1.0,-1
2023-03-07 10:00:00-05:00,130.27,130.32,129.21,129.22,-1.0,-1.0,-1
2023-03-07 11:00:00-05:00,129.22,129.42,128.66,128.72,-1.0,-1.0,-1
2023-03-07 12:00:00-05:00,128.72,129.47,128.68,128.75,-1.0,-1.0,-1
2023-03-07 13:00:00-05:00,128.75,128.79,128.27,128.39,-1.0,-1.0,-1
2023-03-07 14:00:00-05:00,128.39,128.64,128.19,128.22,-1.0,-1.0,-1
2023-03-07 15:00:00-05:00,128.22,128.56,128.19,128.25,-1.0,-1.0,-1
2023-03-08 09:30:00-05:00,128.68,128.7,128.3,128.53,-1.0,-1.0,-1
2023-03-08 10:00:00-05:00,128.53,128.7,128.14,128.24,-1.0,-1.0,-1
2023-03-08 11:00:00-05:00,128.24,128.75,128.15,128.65,-1.0,-1.0,-1
2023-03-08 12:00:00-05:00,128.65,128.73,127.89,128.25,-1.0,-1.0,-1
2023-03-08 13:00:00-05:00,128.25,128.34,127.84,127.98,-1.0,-1.0,-1
2023-03-08 14:00:00-05:00,127.98,128.13,127.67,127.68,-1.0,-1.0,-1
2023-03-08 15:00:00-05:00,127.68,128.11,127.54,128.06,-1.0,-1.0,-1
2023-03-09 09:30:00-05:00,128.29,128.46,127.94,128.13,-1.0,-1.0,-1
2023-03-09 10:00:00-05:00,128.13,128.53,127.84,128.28,-1.0,-1.0,-1
2023-03-09 11:00:00-05:00,128.28,128.32,128.03,128.06,-1.0,-1.0,-1
2023-03-09 12:00:00-05:00,128.06,128.18,127.78,127.86,-1.0,-1.0,-1
2023-03-09 13:00:00-05:00,127.86,127.95,127.46,127.58,-1.0,-1.0,-1
2023-03-09 14:00:00-05:00,127.58,127.6,126.86,126.88,-1.0,-1.0,-1
2023-03-09 15:00:00-05:00,126.88,126.95,125.98,126.17,-1.0,-1.0,-1
2023-03-10 09:30:00-05:00,126.6,126.77,125.78,126.62,-1.0,-1.0,-1
2023-03-10 10:00:00-05:00,126.62,127.3,126.42,127.25,-1.0,-1.0,-1
2023-03-10 11:00:00-05:00,127.25,127.25,126.28,126.45,-1.0,-1.0,-1
2023-03-10 12:00:00-05:00,126.45,126.83,126.07,126.09,-1.0,-1.0,-1
2023-03-10 13:00:00-05:00,126.09,126.21,125.12,125.41,-1.0,-1.0,-1
