date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,142.93,143.24,142.39,142.53,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,142.53,143.4,142.36,142.97,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,142.97,143.15,142.28,142.47,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,142.47,142.98,142.27,142.83,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,142.83,142.9,142.39,142.66,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,142.66,142.96,142.57,142.69,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,142.69,142.72,141.66,141.81,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,140.97,141.23,140.05,140.55,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,140.55,141.44,140.51,141.03,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,141.03,141.87,140.85,141.44,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,141.44,141.91,141.37,141.47,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,141.47,141.78,141.26,141.59,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,141.59,142.75,141.59,142.73,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,142.73,142.83,142.2,142.25,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,140.59,141.34,140.14,140.22,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,140.22,140.53,139.43,139.69,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,139.69,139.84,139.16,139.51,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,139.51,140.03,139.43,139.76,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,139.76,139.85,139.02,139.09,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,139.09,139.46,138.74,138.99,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,138.99,139.9,138.92,139.63,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,139.15,139.42,138.45,139.12,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,139.12,139.21,138.41,138.93,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,138.93,139.26,138.83,139.02,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,139.02,139.3,138.9,139.02,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,139.02,139.18,138.9,138.96,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,138.96,139.16,137.87,137.91,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,137.91,138.64,137.43,138.56,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,139.09,140.16,138.85,139.77,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,139.77,139.99,138.67,139.0,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,139.0,139.36,138.03,138.11,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,138.11,138.54,137.94,138.52,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,138.52,138.98,138.26,138.92,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,138.92,139.44,138.81,139.38,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,139.38,140.0,139.38,139.68,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,139.02,140.16,138.92,139.59,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,139.59,140.47,139.35,139.71,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,139.71,141.05,139.68,140.75,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,140.75,141.04,140.43,140.58,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,140.58,141.0,140.42,140.88,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,140.88,141.11,140.51,140.88,-1.0,-1.0,-1
