date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,354.5,358.01,352.25,353.18,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,353.18,359.19,352.09,357.2,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,357.2,361.13,356.29,360.79,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,360.79,361.51,359.07,359.15,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,359.15,359.51,357.66,358.67,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,358.67,359.15,356.81,356.81,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,356.81,357.06,350.3,350.64,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,347.91,348.77,342.46,342.83,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,342.83,347.29,342.72,344.2,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,344.2,346.31,342.82,346.23,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,346.23,347.76,345.3,345.92,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,345.92,347.04,345.16,345.98,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,345.98,348.64,345.45,348.25,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,348.25,349.07,347.14,347.97,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,343.05,344.13,340.72,340.94,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,340.94,343.82,339.38,340.91,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,340.91,343.47,340.91,341.54,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,341.54,341.92,339.18,340.08,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,340.08,340.4,336.9,336.94,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,336.94,338.8,336.42,338.56,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,338.56,338.78,336.68,337.51,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,337.63,341.94,335.63,338.5,-1.0,-1.0,-1
