date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,22.13,22.37,22.02,22.22,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,22.22,22.42,21.98,22.29,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,22.29,22.39,22.17,22.31,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,22.31,22.51,22.21,22.4,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,22.4,22.54,22.34,22.51,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,22.51,22.55,22.38,22.43,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,22.43,22.43,21.93,22.0,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,21.65,21.74,21.37,21.52,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,21.52,21.63,21.16,21.16,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,21.16,21.29,21.07,21.17,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,21.17,21.31,20.98,21.08,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,21.08,21.2,21.04,21.19,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,21.19,21.51,21.19,21.49,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,21.49,21.52,21.33,21.39,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,21.0,21.49,20.94,21.19,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,21.19,21.23,20.94,21.07,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,21.07,21.13,20.88,20.89,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,20.89,21.06,20.85,21.04,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,21.04,21.06,20.87,20.89,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,20.89,20.92,20.73,20.75,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,20.75,20.83,20.63,20.65,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,20.72,21.11,20.58,20.82,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,20.82,20.83,20.42,20.62,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,20.62,20.83,20.6,20.77,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,20.77,20.94,20.71,20.92,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,20.92,20.99,20.81,20.88,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,20.88,21.03,20.65,20.66,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,20.66,20.8,20.62,20.79,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,23.44,23.82,23.03,23.72,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,23.72,23.89,23.48,23.55,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,23.55,23.64,23.15,23.27,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,23.27,23.54,23.26,23.42,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,23.42,23.74,23.29,23.68,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,23.68,23.8,23.58,23.66,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,23.66,23.78,23.58,23.66,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,23.22,23.47,22.99,23.11,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,23.11,23.18,22.95,23.04,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,23.04,23.42,22.95,23.37,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,23.37,23.42,23.09,23.14,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,23.14,23.25,23.06,23.23,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,23.23,23.39,23.16,23.37,-1.0,-1.0,-1
2023-02-24 15:00:00-05:00,23.37,23.43,23.18,23.29,-1.0,-1.0,-1
2023-02-27 09:30:00-05:00,23.67,23.88,23.63,23.79,-1.0,-1.0,-1
2023-02-27 10:00:00-05:00,23.79,23.84,23.45,23.55,-1.0,-1.0,-1
2023-02-27 11:00:00-05:00,23.55,23.71,23.54,23.64,-1.0,-1.0,-1
2023-02-27 12:00:00-05:00,23.64,23.67,23.49,23.65,-1.0,-1.0,-1
2023-02-27 13:00:00-05:00,23.65,23.82,23.63,23.79,-1.0,-1.0,-1
2023-02-27 14:00:00-05:00,23.79,23.81,23.57,23.63,-1.0,-1.0,-1
2023-02-27 15:00:00-05:00,23.63,23.64,23.47,23.5,-1.0,-1.0,-1
2023-02-28 09:30:00-05:00,23.36,23.59,23.36,23.48,-1.0,-1.0,-1
2023-02-28 10:00:00-05:00,23.48,23.56,23.29,23.43,-1.0,-1.0,-1
2023-02-28 11:00:00-05:00,23.43,23.55,23.43,23.55,-1.0,-1.0,-1
2023-02-28 12:00:00-05:00,23.55,23.75,23.53,23.71,-1.0,-1.0,-1
2023-02-28 13:00:00-05:00,23.71,23.82,23.7,23.78,-1.0,-1.0,-1
2023-02-28 14:00:00-05:00,23.78,23.81,23.56,23.58,-1.0,-1.0,-1
2023-02-28 15:00:00-05:00,23.58,23.59,23.21,23.21,-1.0,-1.0,-1
2023-03-01 09:30:00-05:00,23.21,23.26,22.98,23.01,-1.0,-1.0,-1
2023-03-01 10:00:00-05:00,23.01,23.05,22.61,22.72,-1.0,-1.0,-1
2023-03-01 11:00:00-05:00,22.72,22.78,22.51,22.73,-1.0,-1.0,-1
2023-03-01 12:00:00-05:00,22.73,22.83,22.67,22.76,-1.0,-1.0,-1
2023-03-01 13:00:00-05:00,22.76,22.77,22.62,22.72,-1.0,-1.0,-1
2023-03-01 14:00:00-05:00,22.72,22.78,22.65,22.69,-1.0,-1.0,-1
2023-03-01 15:00:00-05:00,22.69,22.82,22.67,22.71,-1.0,-1.0,-1
2023-03-02 09:30:00-05:00,22.48,22.78,22.43,22.7,-1.0,-1.0,-1
2023-03-02 10:00:00-05:00,22.7,22.83,22.59,22.75,-1.0,-1.0,-1
2023-03-02 11:00:00-05:00,22.75,22.79,22.65,22.7,-1.0,-1.0,-1
2023-03-02 12:00:00-05:00,22.7,22.85,22.69,22.83,-1.0,-1.0,-1
2023-03-02 13:00:00-05:00,22.83,23.1,22.75,23.08,-1.0,-1.0,-1
2023-03-02 14:00:00-05:00,23.08,23.26,23.08,23.21,-1.0,-1.0,-1
2023-03-02 15:00:00-05:00,23.21,23.38,23.18,23.32,-1.0,-1.0,-1
2023-03-03 09:30:00-05:00,23.31,23.49,23.23,23.33,-1.0,-1.0,-1
2023-03-03 10:00:00-05:00,23.33,23.41,23.13,23.26,-1.0,-1.0,-1
2023-03-03 11:00:00-05:00,23.26,23.3,23.14,23.26,-1.0,-1.0,-1
2023-03-03 12:00:00-05:00,23.26,23.55,23.25,23.54,-1.0,-1.0,-1
2023-03-03 13:00:00-05:00,23.54,23.63,23.49,23.62,-1.0,-1.0,-1
2023-03-03 14:00:00-05:00,23.62,23.82,23.62,23.81,-1.0,-1.0,-1
