date,open,high,low,close,volume,average,barCount
2023-02-16 09:30:00-05:00,19.04,19.09,18.93,18.95,-1.0,-1.0,-1
2023-02-16 10:00:00-05:00,18.95,19.06,18.94,19.02,-1.0,-1.0,-1
2023-02-16 11:00:00-05:00,19.02,19.18,18.99,19.16,-1.0,-1.0,-1
2023-02-16 12:00:00-05:00,19.16,19.27,19.15,19.25,-1.0,-1.0,-1
2023-02-16 13:00:00-05:00,19.25,19.37,19.23,19.37,-1.0,-1.0,-1
2023-02-16 14:00:00-05:00,19.37,19.41,19.31,19.41,-1.0,-1.0,-1
2023-02-16 15:00:00-05:00,19.41,19.42,19.26,19.27,-1.0,-1.0,-1
2023-02-17 09:30:00-05:00,19.27,19.31,19.16,19.16,-1.0,-1.0,-1
2023-02-17 10:00:00-05:00,19.16,19.3,19.16,19.21,-1.0,-1.0,-1
2023-02-17 11:00:00-05:00,19.21,19.26,19.13,19.25,-1.0,-1.0,-1
2023-02-17 12:00:00-05:00,19.25,19.46,19.24,19.37,-1.0,-1.0,-1
2023-02-17 13:00:00-05:00,19.37,19.48,19.35,19.45,-1.0,-1.0,-1
2023-02-17 14:00:00-05:00,19.45,19.49,19.42,19.48,-1.0,-1.0,-1
2023-02-17 15:00:00-05:00,19.48,19.51,19.43,19.45,-1.0,-1.0,-1
2023-02-21 09:30:00-05:00,19.25,19.36,19.22,19.29,-1.0,-1.0,-1
2023-02-21 10:00:00-05:00,19.29,19.33,19.17,19.18,-1.0,-1.0,-1
2023-02-21 11:00:00-05:00,19.18,19.25,19.13,19.23,-1.0,-1.0,-1
2023-02-21 12:00:00-05:00,19.23,19.28,19.19,19.21,-1.0,-1.0,-1
2023-02-21 13:00:00-05:00,19.21,19.24,19.19,19.2,-1.0,-1.0,-1
2023-02-21 14:00:00-05:00,19.2,19.2,19.13,19.18,-1.0,-1.0,-1
2023-02-21 15:00:00-05:00,19.18,19.23,19.16,19.21,-1.0,-1.0,-1
2023-02-22 09:30:00-05:00,19.21,19.4,19.21,19.36,-1.0,-1.0,-1
2023-02-22 10:00:00-05:00,19.36,19.38,19.26,19.36,-1.0,-1.0,-1
2023-02-22 11:00:00-05:00,19.36,19.41,19.32,19.34,-1.0,-1.0,-1
2023-02-22 12:00:00-05:00,19.34,19.41,19.32,19.41,-1.0,-1.0,-1
2023-02-22 13:00:00-05:00,19.41,19.42,19.35,19.38,-1.0,-1.0,-1
2023-02-22 14:00:00-05:00,19.38,19.43,19.29,19.3,-1.0,-1.0,-1
2023-02-22 15:00:00-05:00,19.3,19.4,19.28,19.39,-1.0,-1.0,-1
2023-02-23 09:30:00-05:00,19.42,19.53,19.35,19.52,-1.0,-1.0,-1
2023-02-23 10:00:00-05:00,19.52,19.58,19.41,19.41,-1.0,-1.0,-1
2023-02-23 11:00:00-05:00,19.41,19.46,19.26,19.29,-1.0,-1.0,-1
2023-02-23 12:00:00-05:00,19.29,19.39,19.27,19.37,-1.0,-1.0,-1
2023-02-23 13:00:00-05:00,19.37,19.4,19.27,19.3,-1.0,-1.0,-1
2023-02-23 14:00:00-05:00,19.3,19.33,19.26,19.3,-1.0,-1.0,-1
2023-02-23 15:00:00-05:00,19.3,19.36,19.28,19.34,-1.0,-1.0,-1
2023-02-24 09:30:00-05:00,19.21,19.22,18.97,19.09,-1.0,-1.0,-1
2023-02-24 10:00:00-05:00,19.09,19.19,19.07,19.14,-1.0,-1.0,-1
2023-02-24 11:00:00-05:00,19.14,19.27,19.14,19.16,-1.0,-1.0,-1
2023-02-24 12:00:00-05:00,19.16,19.23,19.13,19.21,-1.0,-1.0,-1
2023-02-24 13:00:00-05:00,19.21,19.25,19.18,19.23,-1.0,-1.0,-1
2023-02-24 14:00:00-05:00,19.23,19.27,19.2,19.23,-1.0,-1.0,-1
2023-02-24 15:00:00-05:00,19.23,19.25,19.14,19.25,-1.0,-1.0,-1
2023-02-27 09:30:00-05:00,19.28,19.34,19.23,19.32,-1.0,-1.0,-1
2023-02-27 10:00:00-05:00,19.32,19.32,19.16,19.18,-1.0,-1.0,-1
2023-02-27 11:00:00-05:00,19.18,19.21,19.08,19.11,-1.0,-1.0,-1
2023-02-27 12:00:00-05:00,19.11,19.11,19.03,19.09,-1.0,-1.0,-1
2023-02-27 13:00:00-05:00,19.09,19.11,19.04,19.05,-1.0,-1.0,-1
2023-02-27 14:00:00-05:00,19.05,19.09,19.01,19.05,-1.0,-1.0,-1
2023-02-27 15:00:00-05:00,19.05,19.06,19.01,19.04,-1.0,-1.0,-1
2023-02-28 09:30:00-05:00,19.0,19.03,18.88,18.91,-1.0,-1.0,-1
2023-02-28 10:00:00-05:00,18.91,18.94,18.85,18.86,-1.0,-1.0,-1
